,HDI Rank,Country,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,,2018,
124,152,Pakistan,0.196,,0.198,,0.206,,0.208,,0.220,,0.221,,0.226,,0.219,,0.230,
125,55,Palau,..,,..,,..,,0.776,,0.759,,0.729,,0.737,,..,,0.829,
126,119,"Palestine, State of",..,,..,,..,,0.609,,0.547,,0.548,,0.570,,0.567,,0.582,
127,67,Panama,0.599,,0.544,,0.549,,0.564,,0.568,,0.589,,0.601,,0.610,,0.610,
128,155,Papua New Guinea,..,,..,,..,,0.376,,0.372,,0.379,,0.379,,0.381,,0.382,
129,98,Paraguay,0.480,,0.485,,..,,0.516,,0.523,,0.546,,0.544,,0.528,,0.519,
130,82,Peru,0.455,,0.515,,0.502,,0.502,,0.534,,0.545,,0.579,,0.585,,0.567,
131,106,Philippines,0.542,,0.547,,0.557,,0.566,,0.584,,0.588,,0.586,,0.589,,0.599,
132,32,Poland,0.773,,0.778,,0.766,,0.806,,0.801,,0.809,,0.819,,0.826,,0.821,
133,40,Portugal,0.674,,0.684,,0.692,,0.708,,0.710,,0.712,,0.626,,0.635,,0.639,
134,41,Qatar,..,,..,,..,,..,,..,,..,,0.582,,0.585,,0.583,
135,52,Romania,0.681,,0.738,,0.725,,0.728,,0.729,,0.731,,0.716,,0.714,,0.722,
136,49,Russian Federation,0.686,,0.695,,..,,0.785,,0.788,,0.803,,0.808,,0.814,,0.807,
137,157,Rwanda,0.303,,0.305,,0.313,,0.311,,0.314,,0.307,,0.318,,0.320,,0.324,
138,89,Saint Lucia,..,,..,,..,,..,,0.581,,0.603,,0.613,,0.584,,0.584,
139,111,Samoa,..,,..,,..,,..,,..,,..,,..,,0.667,,0.666,
140,137,Sao Tome and Principe,0.352,,0.377,,0.381,,0.392,,0.393,,0.418,,0.436,,0.455,,0.463,
141,36,Saudi Arabia,..,,..,,..,,..,,..,,..,,0.664,,0.665,,0.651,
142,166,Senegal,0.159,,0.176,,0.185,,0.188,,0.192,,0.193,,0.190,,0.187,,0.190,
143,63,Serbia,0.642,,0.670,,0.668,,0.664,,0.695,,0.704,,0.703,,0.716,,0.719,
144,181,Sierra Leone,0.181,,0.188,,0.192,,0.191,,0.189,,0.201,,0.204,,0.210,,0.214,
145,9,Singapore,..,,..,,..,,..,,..,,..,,0.762,,0.768,,0.745,
146,36,Slovakia,0.788,,0.805,,0.811,,0.810,,0.808,,0.811,,0.809,,0.812,,0.811,
147,24,Slovenia,0.843,,0.850,,0.830,,0.857,,0.854,,0.852,,0.865,,0.873,,0.874,
148,153,Solomon Islands,0.326,,..,,..,,0.360,,0.360,,0.362,,..,,..,,..,
149,113,South Africa,0.551,,0.534,,0.542,,0.570,,0.592,,0.621,,0.618,,0.618,,0.596,
150,186,South Sudan,..,,..,,..,,..,,0.186,,0.182,,0.182,,0.182,,0.182,
151,25,Spain,0.735,,0.750,,0.756,,0.761,,0.771,,0.777,,0.664,,0.671,,0.683,
152,71,Sri Lanka,0.606,,0.610,,0.636,,0.638,,0.653,,0.655,,0.653,,0.653,,0.700,
153,168,Sudan,..,,..,,..,,..,,0.188,,0.191,,0.193,,0.194,,0.195,
154,98,Suriname,0.475,,0.487,,0.507,,0.515,,0.520,,0.533,,0.559,,0.558,,0.559,
155,8,Sweden,0.822,,0.818,,0.821,,0.875,,0.878,,0.881,,0.882,,0.880,,0.880,
156,2,Switzerland,0.859,,0.862,,0.868,,0.837,,0.840,,0.845,,0.875,,0.875,,0.879,
157,154,Syrian Arab Republic,0.368,,0.375,,0.384,,0.309,,0.295,,0.283,,0.284,,..,,..,
158,125,Tajikistan,0.608,,0.605,,0.586,,0.586,,0.621,,0.620,,0.627,,0.629,,0.632,
159,159,Tanzania (United Republic of),0.297,,0.279,,0.305,,0.292,,0.299,,0.308,,0.304,,0.304,,0.309,
160,77,Thailand,0.501,,0.513,,0.514,,0.516,,0.528,,0.537,,0.542,,0.576,,0.543,
161,131,Timor-Leste,0.275,,0.268,,0.266,,0.262,,0.261,,0.261,,0.259,,0.273,,0.273,
162,167,Togo,0.271,,0.279,,0.282,,0.305,,0.300,,0.305,,0.309,,0.314,,0.314,
163,105,Tonga,0.686,,..,,..,,..,,..,,..,,..,,0.735,,0.737,
164,63,Trinidad and Tobago,0.665,,0.666,,0.655,,0.654,,0.658,,0.667,,0.673,,..,,..,
