,Country,2010,2011,2012,2013,2014,2015,2016,2017,2018
139,Romania,353.7,360.8,368.3,381.2,394.2,409.5,429.2,459.2,478.0
140,Russian Federation,3332.1,3475.4,3604.0,3668.8,3694.5,3609.3,3621.2,3680.2,3763.2
141,Rwanda,14.0,15.1,16.4,17.2,18.5,20.2,21.4,22.7,24.6
142,Saint Kitts and Nevis,1.2,1.2,1.2,1.3,1.4,1.4,1.4,1.4,1.5
143,Saint Lucia,2.0,2.1,2.1,2.1,2.1,2.1,2.2,2.2,2.2
144,Saint Vincent and the Grenadines,1.1,1.1,1.1,1.1,1.1,1.1,1.2,1.2,1.2
145,Samoa,1.0,1.1,1.1,1.0,1.1,1.1,1.2,1.2,1.2
146,San Marino,2.3,2.1,1.9,1.9,1.8,1.9,1.9,1.9,1.9
147,Sao Tome and Principe,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6
148,Saudi Arabia,1245.7,1370.2,1444.4,1483.4,1537.6,1600.7,1627.4,1615.4,1651.1
149,Senegal,35.2,35.7,37.5,38.6,41.1,43.8,46.5,49.8,53.2
150,Serbia,97.5,99.4,98.8,101.6,100.0,101.8,105.2,107.3,112.0
151,Seychelles,1.8,2.0,2.0,2.1,2.2,2.3,2.4,2.5,2.6
152,Sierra Leone,7.8,8.2,9.5,11.5,12.0,9.5,10.1,10.5,10.9
153,Singapore,370.9,394.1,411.7,431.5,448.3,461.3,475.0,492.5,508.0
154,Slovakia,135.6,139.5,141.8,143.9,147.8,154.0,158.8,163.9,170.6
155,Slovenia,58.8,59.1,57.6,56.9,58.6,59.9,61.8,64.8,67.7
156,Solomon Islands,1.0,1.1,1.2,1.2,1.2,1.3,1.3,1.4,1.4
157,South Africa,613.2,633.4,647.4,663.5,675.7,684.4,688.2,697.3,701.6
158,South Sudan,38.2,36.4,19.6,22.2,22.9,20.5,18.2,18.2,18.2
159,Spain,1514.1,1499.0,1455.1,1430.3,1450.0,1502.8,1550.5,1596.7,1637.9
160,Sri Lanka,172.3,186.8,203.8,210.8,221.2,232.3,242.7,251.0,259.1
161,Sudan,149.6,146.7,147.5,153.9,158.1,165.8,173.6,181.0,176.8
162,Suriname,7.5,7.9,8.1,8.4,8.4,8.1,7.7,7.8,7.9
163,Sweden,403.2,414.0,412.7,417.8,428.7,447.8,459.8,469.5,480.6
164,Switzerland,437.1,444.5,449.0,457.3,468.5,474.8,482.4,490.2,502.6
165,Tajikistan,16.1,17.3,18.6,20.0,21.3,22.6,24.1,26.0,27.9
166,Tanzania (United Republic of),95.9,103.3,108.0,115.3,123.0,130.6,139.6,149.1,156.8
167,Thailand,906.4,914.0,980.2,1006.6,1016.5,1048.3,1083.5,1127.1,1173.7
168,Timor-Leste,9.8,11.0,11.5,10.2,7.6,9.2,9.2,8.4,8.6
169,Togo,8.0,8.5,9.0,9.6,10.2,10.7,11.3,11.8,12.3
170,Tonga,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6
171,Trinidad and Tobago,41.5,41.4,41.9,42.8,42.4,43.1,40.3,39.5,39.8
172,Tunisia,111.0,108.9,113.3,116.5,120.0,121.4,123.0,125.2,128.3
173,Turkey,1298.9,1443.3,1512.4,1640.9,1725.6,1830.7,1888.9,2029.5,2081.6
174,Turkmenistan,50.6,58.0,64.5,71.0,78.3,83.4,88.6,94.4,100.2
175,Tuvalu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176,Uganda,51.4,56.2,58.4,60.5,63.6,66.9,70.1,72.8,77.2
177,Ukraine,358.9,378.5,379.4,379.3,354.5,319.8,327.6,335.7,346.9
178,United Arab Emirates,473.4,506.2,528.9,555.6,580.0,609.4,627.6,632.6,641.6
179,United Kingdom,2291.5,2329.2,2362.9,2411.3,2482.3,2540.7,2586.1,2633.3,2670.1
180,United States,15305.2,15542.6,15892.2,16185.0,16581.8,17059.5,17326.9,17711.0,18217.0
181,Uruguay,57.6,60.6,62.8,65.7,67.8,68.1,69.2,71.0,72.1
182,Uzbekistan,121.1,131.1,141.9,153.3,164.3,176.5,187.3,195.6,205.7
183,Vanuatu,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.8
184,Venezuela (Bolivarian Republic of),480.3,500.3,528.5,535.6,514.7,514.7,514.7,514.7,514.7
185,Viet Nam,390.0,414.3,436.1,459.7,487.2,519.8,552.1,589.7,631.4
186,Yemen,105.7,92.3,94.5,99.1,98.9,82.4,71.2,66.9,65.1
187,Zambia,45.4,47.9,51.6,54.2,56.7,58.4,60.6,62.7,65.0
188,Zimbabwe,24.5,28.0,32.6,33.3,34.1,34.7,34.9,36.6,38.8
189,Andorra,..,..,..,..,..,..,..,..,..
190,Cuba,..,..,..,..,..,..,..,..,..
191,Liechtenstein,..,..,..,..,..,..,..,..,..
192,Syrian Arab Republic,..,..,..,..,..,..,..,..,..
