,Country Name,2010,2011,2012,2013,2014,2015,2016,2017,2018
120,Kyrgyz Republic,69.3,69.60243902,70.00243902,70.20243902,70.40243902,70.65121951,70.95121951,71.2,71.4
121,Cambodia,66.56,67.043,67.48,67.888,68.273,68.637,68.977,69.289,69.57
122,Kiribati,65.76899999999999,66.072,66.381,66.69,66.995,67.291,67.577,67.851,68.116
123,St. Kitts and Nevis,,,,,,,,,
124,"Korea, Rep.",80.11707317,80.56829268,80.81951219999999,81.27073171,81.72195122,82.02439024,82.27560976,82.62682927,82.62682927
125,Kuwait,74.358,74.55,74.72800000000001,74.885,75.01899999999999,75.13,75.22399999999999,75.311,75.398
126,Latin America & Caribbean (excluding high income),73.89410699999999,74.08019402,74.25919605,74.43115898,74.59835589,74.76219852,74.92378197,75.08520392,75.24607612
127,Lao PDR,64.306,64.797,65.267,65.717,66.14399999999999,66.546,66.92399999999999,67.277,67.61
128,Lebanon,78.36,78.507,78.611,78.683,78.732,78.768,78.8,78.833,78.875
129,Liberia,59.6,60.146,60.663000000000004,61.18600000000001,61.723,62.269,62.802,63.295,63.73
130,Libya,72.044,71.956,71.90100000000001,71.907,71.98100000000001,72.12100000000001,72.311,72.52,72.72399999999999
131,St. Lucia,74.852,74.993,75.138,75.286,75.44,75.596,75.752,75.907,76.057
132,Latin America & Caribbean,74.0972513,74.28314483,74.46148905,74.63283074,74.79906908,74.96172209,75.12205873,75.28213592,75.44091549
133,Least developed countries: UN classification,61.3889337,61.96742512,62.51534548,63.03049635,63.50906065,63.94777696,64.34577144,64.70773022,65.03962412
134,Low income,59.88165072,60.43457362,60.95442997,61.44714431,61.91294602,62.3505613,62.75863671,63.13889301,63.49633875
135,Liechtenstein,81.84146341,81.79268293,82.38292683,82.26097561,82.07317073,82.65609756,82.25853659,83.74634146,83.04146341
136,Sri Lanka,75.439,75.61399999999999,75.796,75.97399999999999,76.14699999999999,76.316,76.482,76.648,76.812
137,Lower middle income,65.90368899,66.30349478,66.67756329999999,67.03165977,67.35882831,67.65892218,67.93712086,68.19326853,68.42246909
138,Low & middle income,68.67923816,69.03785399,69.3728673,69.69725264,69.99525582,70.27720571,70.53903746,70.78783627,70.99880759
139,Lesotho,45.1,46.207,47.416000000000004,48.663000000000004,49.891000000000005,51.038000000000004,52.059,52.946999999999996,53.705
140,Late-demographic dividend,73.9822582,74.31952172,74.60987675,74.91679277,75.19948287,75.47121314,75.74557604,76.01415346,76.22443890000001
141,Lithuania,73.26829268,73.56341463,73.86341463,73.91463415,74.51707317,74.32195122,74.67073171,75.4804878,75.68048780000001
142,Luxembourg,80.63170732,80.98780488,81.39268293,81.8,82.22926829,82.29268293,82.68536585,82.09512195,82.29512195
143,Latvia,73.48292683,73.57560976,73.77804878,73.98292683,74.12439024,74.4804878,74.5804878,74.62926829,74.78292683
144,"Macao SAR, China",82.704,82.93799999999999,83.15799999999999,83.361,83.54299999999999,83.70700000000001,83.854,83.98899999999999,84.118
145,St. Martin (French part),78.72195122,78.87073171,79.02195122,79.17073171,79.32195122,79.47073171,79.62195122,79.72195122,79.87073171
146,Morocco,74.382,74.696,74.97,75.227,75.477,75.726,75.97399999999999,76.218,76.453
147,Monaco,,,,,,,,,
148,Moldova,69.616,70.119,70.581,70.968,71.267,71.47800000000001,71.617,71.717,71.808
149,Madagascar,63.388000000000005,63.836000000000006,64.28,64.71300000000001,65.133,65.539,65.931,66.311,66.681
150,Maldives,75.905,76.293,76.664,77.018,77.36,77.691,78.013,78.325,78.627
151,Middle East & North Africa,72.53918335,72.73749387,72.93165619,73.13237931,73.32641704,73.51484485,73.71082026,73.89990828,74.08890926
152,Mexico,75.065,75.01100000000001,74.96600000000001,74.93,74.908,74.904,74.917,74.947,74.992
153,Marshall Islands,,,,,,,,,
154,Middle income,69.57613454,69.92754956,70.25552330000001,70.57397871,70.86584467,71.14292744,71.40086069,71.64736685,71.8546144
155,North Macedonia,74.66199999999999,74.846,75.01899999999999,75.171,75.29899999999999,75.406,75.498,75.589,75.688
156,Mali,55.251000000000005,55.701,56.135,56.578,57.036,57.50899999999999,57.986999999999995,58.452,58.893
157,Malta,81.39756098,80.74634146,80.74634146,81.74634146,82.04634146,81.89756098,82.45365854,82.34634146,82.44878049
158,Myanmar,63.525,63.983000000000004,64.453,64.921,65.378,65.81,66.205,66.558,66.867
159,Middle East & North Africa (excluding high income),72.01470088,72.21086861,72.40502044,72.60230904,72.80115246,73.00029612,73.1982111,73.39427025,73.58735821
160,Montenegro,75.15100000000001,75.505,75.82300000000001,76.089,76.297,76.452,76.568,76.667,76.77
161,Mongolia,67.38,67.818,68.217,68.566,68.863,69.111,69.321,69.509,69.689
162,Northern Mariana Islands,,,,,,,,,
163,Mozambique,52.31,53.043,53.931000000000004,54.949,56.062,57.206,58.309,59.309,60.163000000000004
164,Mauritania,62.527,62.799,63.07899999999999,63.36600000000001,63.653999999999996,63.93600000000001,64.208,64.464,64.704
165,Mauritius,72.96731707,73.26682927,73.86341463,74.01707317,74.19439024,74.35317073,74.39487805,74.51463415,74.41634146
166,Malawi,55.56399999999999,57.161,58.629,59.931000000000004,61.042,61.953,62.681000000000004,63.278999999999996,63.798
167,Malaysia,74.493,74.683,74.877,75.072,75.268,75.461,75.649,75.828,75.997
168,North America,78.8094598,78.92058037,79.03151682,79.04226674,79.13815444,79.0122081,78.87745779,78.88413429,78.88689055
169,Namibia,56.665,58.085,59.387,60.513000000000005,61.425,62.119,62.625,63.021,63.373000000000005
170,New Caledonia,77.25912213,76.64683538,77.06907036,77.17621087,77.25287259999999,77.24430351,76.96150074,77.14878049,77.14878049
171,Niger,57.333,58.081,58.79,59.455,60.07,60.631,61.137,61.599,62.023999999999994
172,Nigeria,50.896,51.346000000000004,51.786,52.228,52.672,53.111999999999995,53.541000000000004,53.95,54.332
173,Nicaragua,72.428,72.692,72.95100000000001,73.197,73.429,73.649,73.86,74.068,74.275
174,Netherlands,80.70243902,81.20487805,81.10487805,81.30487805,81.70731707,81.5097561,81.56097561,81.76097561,81.81219512
175,Norway,80.99756098,81.29512195,81.45121951,81.75121951,82.1,82.30487805,82.40731707,82.6097561,82.75853659
176,Nepal,67.611,68.028,68.426,68.806,69.168,69.515,69.848,70.169,70.47800000000001
177,Nauru,,,,,,,,,
178,New Zealand,80.70243902,80.90487805,81.15609756,81.40731707,81.40487805,81.45682927,81.61243902,81.65853659,81.85853659
179,OECD members,79.15024029,79.38154754,79.49859028,79.66353344,79.91377063,79.81224687,79.96124773,80.00633468,80.07755674
180,Oman,75.682,75.916,76.149,76.388,76.634,76.887,77.142,77.393,77.633
181,Other small states,64.30884935,65.02064195,65.71946022,66.33313879,66.89118507,67.40523612,67.83562940000002,68.22875917,68.5469317
182,Pakistan,65.264,65.562,65.84899999999999,66.117,66.36,66.577,66.77,66.947,67.11399999999999
183,Panama,76.792,76.98899999999999,77.188,77.38600000000001,77.583,77.77600000000001,77.964,78.149,78.329
184,Peru,74.41,74.697,74.98100000000001,75.258,75.529,75.792,76.044,76.286,76.516
185,Philippines,69.82300000000001,69.984,70.149,70.315,70.48100000000001,70.64399999999999,70.80199999999999,70.952,71.095
186,Palau,,,,,,,,,
187,Papua New Guinea,62.028999999999996,62.316,62.604,62.891999999999996,63.181000000000004,63.466,63.744,64.01,64.263
188,Poland,76.24634146,76.69512195,76.74634146,77.0,77.60243902,77.45121951,77.85121951,77.75365854,77.60243902
189,Pre-demographic dividend,56.59345621,57.2241555,57.83555535,58.42601741,58.98777897,59.51195893,59.99193712,60.42746691,60.8209563
190,Puerto Rico,78.41909756,78.64065854,78.84758537,79.03434146,79.20246341,79.3534878,79.49497561,79.63453659,79.77819512
191,"Korea, Dem. People’s Rep.",69.571,70.012,70.454,70.85300000000001,71.19800000000001,71.48100000000001,71.711,71.91,72.095
192,Portugal,79.02682927,80.47073171,80.37317073,80.72195122,81.12195122,81.12439024,81.12439024,81.42439024,81.32439024
193,Paraguay,72.653,72.86,73.068,73.274,73.473,73.66199999999999,73.836,73.992,74.131
194,West Bank and Gaza,72.788,72.915,73.041,73.17,73.303,73.442,73.589,73.74,73.895
195,Pacific island small states,68.48525042,68.68299373,68.88198265,69.07737697,69.26553193,69.44445877,69.61374193,69.77428378,69.92905797
196,Post-demographic dividend,79.68608751,79.95288238,80.08668975,80.26801425,80.5272113,80.39498001,80.54922115,80.59844147,80.659892
197,French Polynesia,75.611,75.844,76.074,76.307,76.546,76.78699999999999,77.024,77.251,77.462
198,Qatar,79.108,79.26,79.399,79.527,79.646,79.758,79.868,79.98100000000001,80.1
199,Romania,73.45853659,74.4097561,74.41219512,75.06341463,74.9097561,74.91219512,75.20975609999999,75.3097561,75.35853659
200,Russian Federation,68.84121951,69.68390244,70.07219512,70.57878049,70.74365854,71.18341463,71.65121951,72.43195122,72.65731707
201,Rwanda,63.433,64.523,65.438,66.219,66.884,67.45,67.93,68.34100000000001,68.7
202,South Asia,66.84876853,67.25831784,67.64633996,68.00771902,68.34020626,68.64190068,68.91615144,69.1713119,69.41224765
203,Saudi Arabia,73.917,74.089,74.25399999999999,74.402,74.533,74.65100000000001,74.76100000000001,74.874,74.998
204,Sudan,62.763999999999996,63.17100000000001,63.542,63.875,64.169,64.429,64.663,64.881,65.095
205,Senegal,64.28399999999999,64.898,65.44800000000001,65.939,66.37,66.747,67.078,67.38,67.665
